Report_Date,Total Cases,Hospitalizations,Deaths,Total_Cases_+14d,Hosp +14d,Death +14d
2020-04-01,1484,208,34,6500,1048,195
2020-04-02,1706,246,41,6889,1114,208
2020-04-03,2012,312,46,7491,1221,231
2020-04-04,2407,390,52,8053,1296,258
2020-04-05,2637,431,51,8537,1422,277
2020-04-06,2878,497,54,8990,1500,300
2020-04-07,3333,563,63,9630,1581,324
2020-04-08,3645,615,75,10266,1659,349
2020-04-09,4042,685,109,10998,1753,372
2020-04-10,4509,772,121,11594,1837,410
2020-04-11,5077,837,130,12366,1942,436
2020-04-12,5274,872,141,12970,2014,448
2020-04-13,5747,903,149,13535,2066,458
2020-04-14,6171,978,154,14339,2165,492
2020-04-15,6500,1048,195,14961,2259,522
2020-04-16,6889,1114,208,15846,2322,552
2020-04-17,7491,1221,231,16901,2416,581
2020-04-18,8053,1296,258,17731,2519,616
2020-04-19,8537,1422,277,18671,2627,660
2020-04-20,8990,1500,300,19492,2700,684
2020-04-21,9630,1581,324,20256,2773,713
2020-04-22,10266,1659,349,20985,2890,737
2020-04-23,10998,1753,372,21570,2955,769
2020-04-24,11594,1837,410,22342,3059,812
2020-04-25,12366,1942,436,23196,3164,827
2020-04-26,12970,2014,448,24081,3211,839
2020-04-27,13535,2066,458,25070,3300,850
2020-04-28,14339,2165,492,25800,3395,891
2020-04-29,14961,2259,522,26746,3520,927
2020-04-30,15846,2322,552,27813,3592,955
2020-05-01,16901,2416,581,28672,3657,977
2020-05-02,17731,2519,616,29683,3724,1002
2020-05-03,18671,2627,660,30388,3775,1009
2020-05-04,19492,2700,684,31140,3822,1014
2020-05-05,20256,2773,713,32145,3904,1041
2020-05-06,20985,2890,737,32908,3979,1074
2020-05-07,21570,2955,769,34137,4093,1099
2020-05-08,22342,3059,812,34950,4145,1136
2020-05-09,23196,3164,827,35749,4181,1159
2020-05-10,24081,3211,839,36244,4214,1171
2020-05-11,25070,3300,850,37727,4269,1208
2020-05-12,25800,3395,891,39342,4325,1236
2020-05-13,26746,3520,927,40249,4385,1281
2020-05-14,27813,3592,955,41401,4442,1338
2020-05-15,28672,3657,977,42533,4529,1358
2020-05-16,29683,3724,1002,43611,4601,1370
2020-05-17,30388,3775,1009,44607,4643,1375
2020-05-18,31140,3822,1014,45398,4694,1392
2020-05-19,32145,3904,1041,46239,4770,1407
2020-05-20,32908,3979,1074,46905,4884,1428
2020-05-21,34137,4093,1099,47856,4957,1445
2020-05-22,34950,4145,1136,48532,5008,1453
2020-05-23,35749,4181,1159,49397,5054,1460
2020-05-24,36244,4214,1171,50681,5106,1472
2020-05-25,37727,4269,1208,51251,5143,1477
2020-05-26,39342,4325,1236,51738,5203,1496
2020-05-27,40249,4385,1281,52177,5272,1514
2020-05-28,41401,4442,1338,52647,5360,1520
2020-05-29,42533,4529,1358,53211,5445,1534
2020-05-30,43611,4601,1370,53869,5511,1541
2020-05-31,44607,4643,1375,54506,5536,1546
2020-06-01,45398,4694,1392,54886,5588,1552
2020-06-02,46239,4770,1407,55331,5643,1570
2020-06-03,46905,4884,1428,55775,5692,1583
2020-06-04,47856,4957,1445,56238,5744,1586
2020-06-05,48532,5008,1453,56793,5797,1602
2020-06-06,49397,5054,1460,57443,5807,1607
2020-06-07,50681,5106,1472,57994,5840,1611
2020-06-08,51251,5143,1477,58465,5869,1620
2020-06-09,51738,5203,1496,58994,5913,1645
2020-06-10,52177,5272,1514,59514,5955,1661
2020-06-11,52647,5360,1520,59946,5995,1675
2020-06-12,53211,5445,1534,60570,6071,1700
2020-06-13,53869,5511,1541,61247,6120,1724
2020-06-14,54506,5536,1546,61736,6136,1732
2020-06-15,54886,5588,1552,62189,6164,1740
2020-06-16,55331,5643,1570,62787,6203,1763
2020-06-17,55775,5692,1583,63203,6262,1786
2020-06-18,56238,5744,1586,63735,6333,1816
2020-06-19,56793,5797,1602,64393,6382,1845
2020-06-20,57443,5807,1607,65109,6405,1849
2020-06-21,57994,5840,1611,65748,6418,1853
2020-06-22,58465,5869,1620,66102,6435,1853
2020-06-23,58994,5913,1645,66740,6512,1881
2020-06-24,59514,5955,1661,67375,6577,1905
2020-06-25,59946,5995,1675,67988,6625,1937
2020-06-26,60570,6071,1700,68931,6675,1958
2020-06-27,61247,6120,1724,69782,6707,1962
2020-06-28,61736,6136,1732,70670,6744,1966
2020-06-29,62189,6164,1740,71642,6765,1968
2020-06-30,62787,6203,1763,72443,6817,1977
